code,site,location,landuse,soiltexture,bulkdensity,pH_KCl,C_total,N_total,NH4,NO3,P_total,P_Olsen,P_Ox,K,Mg,Ca,Na,Al,Fe
VB132,V,Amsterdam,Forest,clay,1.08,7.1,2.542,0.172,6.368,0.429,638,29.9,247.9,173.4,124.7,3123,32.8,<bg,<bg
VB133,W,Swalmen,Forest,sand,1.49,3.6,1.942,0.137,4.629,0.149,472,93.9,236.9,19.6,14.0,105,2.1,119,9.5
VB134,W,Swalmen,Forest,sand,1.34,3.7,1.497,0.113,6.135,NA,519,87.4,270.2,24.7,13.5,71,2.2,120,9.8
VB135,W,Swalmen,Forest,sand,1.21,3.8,1.781,0.123,6.294,0.749,683,90.5,276.0,23.8,10.0,85,1.5,119,<bg
VB136,W,Swalmen,Forest,sand,1.04,3.4,3.232,0.169,8.179,NA,288,41.1,58.1,43.7,24.5,129,4.2,206,31.3
VB137,W,Swalmen,Forest,sand,1.21,3.8,1.611,0.113,7.669,0.946,571,88.0,262.9,21.5,9.3,92,1.9,115,8
VB138,W,Swalmen,Forest,sand,1.37,3.7,1.898,0.128,5.589,1.583,537,81.5,204.6,27.4,18.0,160,3.3,98,8.7
VB139,X,Swalmen,Grassland,sand,1.35,4.3,1.376,0.106,3.180,0.149,655,57.3,298.3,16.6,27.9,311,1.9,<bg,<bg
VB140,X,Swalmen,Grassland,sand,1.44,4.2,1.631,0.119,4.072,0.313,597,58.9,300.9,17.4,23.3,273,2.1,<bg,7.7
VB141,X,Swalmen,Grassland,sand,1.29,4.2,1.761,0.136,3.377,0.949,634,70.9,335.9,26.3,31.8,330,2.8,<bg,<bg
VB142,X,Swalmen,Grassland,sand,1.33,4.1,1.441,0.109,4.344,0.413,534,53.6,257.8,19.4,15.8,276,2.6,<bg,<bg
VB143,X,Swalmen,Grassland,sand,1.24,4.3,1.959,0.142,4.448,1.776,754,66.2,345.2,30.1,39.0,402,2.2,<bg,<bg
VB144,X,Swalmen,Grassland,sand,1.39,4.2,1.518,0.111,3.230,0.524,583,54.6,267.3,13.2,21.7,288,2.1,<bg,<bg
VB145,Y,Swalmen,Food_forest,sand,1.03,5.1,2.205,0.159,5.932,3.186,841,75.7,538.1,60.2,91.7,1043,2.8,<bg,<bg
VB146,Y,Swalmen,Food_forest,sand,1.35,4.9,2.738,0.191,8.524,6.490,930,110.1,670.8,96.5,123.6,1218,2.8,<bg,<bg
VB147,Y,Swalmen,Food_forest,sand,1.27,5.6,2.409,0.183,10.458,7.870,970,79.0,620.6,91.5,129.2,1351,2.1,<bg,<bg
VB148,Y,Swalmen,Food_forest,sand,1.28,4.4,1.698,0.129,4.858,3.329,854,82.2,534.7,39.7,42.4,567,1.4,<bg,<bg
VB149,Y,Swalmen,Food_forest,sand,1.18,4.7,2.178,0.165,5.643,3.146,886,78.7,478.6,53.5,65.3,694,2.7,<bg,<bg
VB150,Y,Swalmen,Food_forest,sand,0.91,5.7,2.735,0.178,4.517,4.617,870,74.8,529.3,110.7,171.2,1514,2.1,<bg,<bg
VB151,Z,Nevele,Food_forest,sand,1.04,5.6,3.487,0.231,8.387,16.175,974,90.9,545.9,313.3,275.8,2093,8.7,<bg,<bg
VB152,Z,Nevele,Food_forest,sand,0.85,5.9,3.04,0.239,9.037,23.524,1118,108.3,625.9,416.4,286.5,2511,14.6,<bg,<bg
VB153,Z,Nevele,Food_forest,sand,0.74,5.5,3.365,0.247,9.137,27.430,1073,112.8,642.1,356.1,328.9,2616,8.9,<bg,<bg
VB154,Z,Nevele,Food_forest,sand,0.85,6.4,3.386,0.262,8.278,15.011,1221,107.9,641.1,325.6,277.6,2959,7.9,<bg,<bg
VB155,Z,Nevele,Food_forest,sand,0.77,5.8,3.049,0.227,6.874,17.809,931,95.0,497.5,248.3,275.4,2218,8.2,<bg,<bg
VB156,Z,Nevele,Food_forest,sand,0.99,5.5,2.151,0.178,8.817,12.214,850,86.6,471.0,230.8,211.9,1649,5.9,<bg,<bg
VB157,AA,Nevele,Arable_field,sand,1.37,5.8,1.499,0.135,6.020,35.848,838,66.4,491.2,73.2,172.4,897,11.3,<bg,<bg
VB158,AA,Nevele,Arable_field,sand,1.23,5.3,1.167,0.13,2.867,25.487,795,74.8,549.7,69.4,124.8,594,7.2,<bg,<bg
VB159,AA,Nevele,Arable_field,sand,1.25,6.0,1.452,0.149,6.254,38.595,986,70.1,631.5,123.3,207.0,884,14.0,<bg,<bg
VB160,AA,Nevele,Arable_field,sand,1.36,5.5,1.109,0.118,4.641,44.735,804,76.7,492.9,96.4,142.8,604,9.4,<bg,<bg
VB161,AA,Nevele,Arable_field,sand,1.26,5.2,1.265,0.13,7.518,42.572,1017,83.3,703.8,243.7,201.6,829,85.7,<bg,<bg
VB162,AA,Nevele,Arable_field,sand,1.29,5.5,1.318,0.144,3.357,34.199,1006,70.4,664.3,74.5,158.8,874,11.7,<bg,<bg
VB163,AB,Nevele,Forest,sand,0.50,7.0,2.455,0.184,4.821,16.855,249,19.1,87.1,87.2,155.4,3297,171.3,<bg,<bg
VB164,AB,Nevele,Forest,sand,0.49,7.1,2.367,0.177,5.035,7.728,278,14.3,83.0,87.7,223.1,3123,107.6,<bg,<bg
VB165,AB,Nevele,Forest,sand,0.59,6.7,1.349,0.112,3.692,8.482,256,8.5,38.5,112.7,99.1,1688,12.0,<bg,<bg
VB166,AB,Nevele,Forest,sand,0.52,6.7,2.766,0.206,3.956,13.188,282,10.0,47.3,76.3,192.0,3046,128.5,<bg,<bg
VB167,AB,Nevele,Forest,sand,0.94,6.9,1.781,0.147,4.281,11.340,202,8.8,34.8,151.5,111.7,1907,11.0,<bg,<bg
VB168,AB,Nevele,Forest,sand,0.92,7.2,1.426,0.122,5.320,9.292,268,11.1,75.9,145.0,91.7,1839,9.5,<bg,<bg
VB169,AC,Nevele,Grassland,sand,1.13,4.3,2.577,0.206,6.214,0.994,1086,147.1,540.6,63.7,81.6,354,20.4,59,<bg
VB170,AC,Nevele,Grassland,sand,1.24,4.3,2.648,0.231,7.808,4.026,1052,166.6,561.8,84.8,101.3,410,15.3,51,<bg
VB171,AC,Nevele,Grassland,sand,1.13,4.2,1.898,0.189,5.780,1.374,875,120.3,474.3,52.5,54.9,285,9.5,64,<bg
VB172,AC,Nevele,Grassland,sand,1.13,4.3,2.544,0.231,6.439,1.973,1133,160.3,645.9,74.3,83.5,413,11.7,52,<bg
VB173,AC,Nevele,Grassland,sand,1.30,4.3,2.133,0.22,9.077,0.614,978,107.0,517.8,75.6,87.7,421,16.2,58,<bg
VB174,AC,Nevele,Grassland,sand,1.29,4.4,1.748,0.178,5.255,1.489,911,63.0,428.9,36.6,56.5,455,11.2,<bg,<bg
VB175,AD,Houthulst,Food_forest,loam,0.98,4.5,2.031,0.211,9.037,2.428,444,46.8,180.7,213.1,160.3,1222,18.1,<bg,<bg
